\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,MEMO,SLN_SEQ,TRACE,CORES,PARA_TYPE,Log time(YYYY-MM-DD-HH-MN-SS)
750000,653914,88.55588680226356,88.56834073225036,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-22-44
750000,573504,54.29086623014882,54.29533552983776,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-23-41
750000,573504,39.442600526846945,39.44840484904125,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-24-24
750000,559952,35.058661417104304,35.06395281013101,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-25-03
750000,559952,24.842307297047228,24.855359476990998,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-25-29
750000,559952,30.829038604162633,30.8332535950467,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-26-02
750000,559952,23.243228088133037,23.26189688500017,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-26-28
750000,559952,16.07980336714536,16.085530734155327,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-26-45
750000,559952,13.68903220584616,13.70349658280611,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-00
750000,559952,12.99639338394627,13.000642528757453,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-14
750000,559952,4.844064064789563,4.8498776238411665,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-20
750000,559952,4.652664147783071,4.666304848622531,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-26
750000,383760,0.5964597100391984,0.6109034176915884,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-28
750000,383760,0.5849576070904732,0.590599843300879,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-30
750000,383760,0.005346556659787893,0.01069105975329876,2,"[0, 553, 46859]","[0, 4776, 656]",646276,"[750000]",5,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,1,0,0,2,1,-2024-12-0910-27-31
