Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
0.114731037989259,0.0150648169219494,0.131305505345116,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-18
0.108917396981269,0.00953812897205353,0.0875721348141826,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-19
0.105165177024901,0.00761955231428146,0.0724531877360631,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-20
0.108428133884445,0.00666457414627075,0.0614653587358921,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-21
0.108361969003454,0.00698485597968102,0.0644585553761798,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-22
0.112787950783968,0.00903215631842613,0.0800808619683689,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-23
0.108632569899783,0.00925795361399651,0.0852226327936204,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-24
0.105336290085688,0.00872642174363136,0.0828434505955419,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-25
0.10771213285625,0.00877832621335983,0.08149802608658,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-26
0.1073259038385,0.0102546103298664,0.0955464614143586,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-27
0.107722993940115,0.0160427391529083,0.148925856645116,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",110000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-29
0.106557453982532,0.0159295462071896,0.149492556473815,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",120000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-30
0.105854246998206,0.0166158713400364,0.156969340496258,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",130000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-31
0.109129046089947,0.0170165672898293,0.155930688478701,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",140000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-32
0.107593578984961,0.0176306031644344,0.16386296776036,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",150000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-33
0.107319752918556,0.0242319740355015,0.225792301757263,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",160000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-34
0.108263893984258,0.0284160077571869,0.26246984762361,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",170000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-51-35
