Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1.24043713998981,0.0478837362024933,0.0386023077339386,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-25
0.163535689993296,0.0489997819531709,0.299627451079209,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-26
0.187724535993766,0.0495529358740896,0.263966218436865,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-27
0.220755563001148,0.0559502879623324,0.253449051075743,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-28
0.174886702996446,0.0510863589588553,0.29211116730752,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-30
0.102689630992245,0.0510981110855937,0.497597572333789,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-31
0.159872976015322,0.0554266800172627,0.346691988844636,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-32
0.161406080995221,0.0695783370174468,0.431076305108399,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-33
0.363165412010858,0.0936321709305048,0.257822380198766,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-34
0.234292711014859,0.116869403980672,0.498817925126404,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-36
0.205233329004841,0.151228425791487,0.736860950045399,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",110000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-37
0.400013703998411,0.185050905216485,0.462611413976008,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",120000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-38
0.23514162900392,0.220426785992458,0.937421361441636,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",130000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-40
0.340045738004846,0.264064496848732,0.776555819808477,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",140000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-41
0.372609666985227,0.325766541063786,0.874283653721473,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",150000,[1000000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-06-42
