Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
0.00218812189996243,0.00218812189996243,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,10000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-18
0.00260267313569784,0.00260267313569784,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,20000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-19
0.00266104284673929,0.00266104284673929,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,30000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-20
0.00299957068637013,0.00299957068637013,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,40000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-21
0.00260312436148524,0.00260312436148524,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,50000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-22
0.00351839791983366,0.00351839791983366,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,100000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-23
0.00953998230397701,0.00953998230397701,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,200000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-24
0.0211556227877736,0.0211556227877736,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,300000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-25
0.0400682208128274,0.0400682208128274,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,400000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-26
0.0575427692383528,0.0575427692383528,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,500000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-27
0.0719367950223386,0.0719367950223386,1,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,1000000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-10-28
