Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
0.198624513112009,0.00368474895367399,0.0185513303264642,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,10000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-12
0.11059656413272,0.0034103820216842,0.0308362384349626,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,20000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-13
0.109267383813858,0.00440124899614602,0.0402796227247808,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,30000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-14
0.107521077152342,0.00495848798891529,0.046116427776201,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,40000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-16
0.107521967962384,0.00517170003149658,0.0480990083189871,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,50000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-17
0.108811683952808,0.00805218401364982,0.0740010973191266,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,100000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-18
0.107510827016085,0.0465003290446475,0.432517638783397,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,200000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-19
0.211235726252198,0.274235591990873,1.29824436830093,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,300000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-20
0.407112802378833,1.06583049503388,2.61802254511781,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,400000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-21
1.41157355485484,2.60674865701003,1.84669700565345,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,500000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-24
24.7363349348307,28.2334727220004,1.14137655381782,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,1000000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-1015-36-50
