Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
0.115027263993397,0.000142078002681956,0.00123516806146159,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,10000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-36
0.106810536934063,0.000159830000484362,0.00149638795077896,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,20000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-37
0.106541429879144,0.000265449023572728,0.00249150986497781,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,30000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-38
0.109518226934597,0.000431482010753825,0.00393981917741877,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,40000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-40
0.109366951044649,0.000498328008688986,0.00455647710692369,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,50000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-41
0.107613523025066,0.00137548800557852,0.0127817393847252,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,100000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-42
0.108816041843966,0.00636418798239902,0.058485751499074,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,200000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-43
0.107571282889694,0.0302697099978104,0.281392107490711,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,300000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-44
0.106112509965897,0.142511957994429,1.34302692529119,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,400000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-45
0.408353313105181,0.677863710996462,1.65999317072239,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,500000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-18-47
151.978464924032,332.611689721001,2.18854486974362,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,1000000,12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0910-21-20
