Runtime (s),Unicore Runtime (s),Speedup (factor),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
34.3894475779962,110.480092767626,3.21261609442996,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-05-42
19.3766015130095,71.3719176948071,3.68340741522128,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-06-02
21.2327463431284,64.9645557524636,3.05963979895085,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-06-24
25.3401476768777,51.4197959192097,2.02918296194971,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-06-51
16.522944158176,40.7677829731256,2.4673437483569,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-07-08
13.6195505829528,38.6983548030257,2.84138265556746,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-07-23
14.4669108809903,38.4336650995538,2.65666011325583,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-07-38
12.9785758401267,21.2023576488718,1.63364285188511,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-07-52
12.8898753640242,20.2855233214796,1.5737563590488,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-06
12.6252889470197,17.5046889251098,1.38647828169049,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-20
3.99949705507606,5.04188747610897,1.26063037593938,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-25
3.87513428693637,4.82837749551982,1.24598972267799,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-30
0.708965199999511,0.589041162282229,0.830846369162597,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-31
0.969983367016539,0.603965464048088,0.62265548522317,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-33
0.369142296025529,0.00621127523481846,0.0168262355782413,2,"[0, 553, 46859]","[0, 4776, 656]",646276,[750000],5,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-12-0911-08-35
